,X_Maximum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
X_Maximum,259853.92999241987,153659154.86912343,-27426.476594526866,-229.48670002939318,-2357.857478768002,-2395001.3406594717,-1207.678774190555,-931.6795979456394,12611.363929582478,-2436.9553973361385,8.382258896554927,-3.5752711337654497,13.939031427610107,0.3813820800396019,4.290362203177449,-5.996406702968613,-3.2772554646288103,-17.369331626780927,0.6065036922017947,-20.17305068452888,-19.50202645452718,-9.221648300666741,-13.12616277052426
Y_Maximum,153659154.86912343,3398163743226.8906,55765350.35740913,5262775.070371116,-2823396.89479139,5565447162.75547,-3149960.527187789,-509367.99171604036,2678978.7524790014,-37764846.6377914,25560.439338164993,-24519.615349907963,19086.79323703881,5590.925702272872,71868.0858062087,-13190.884115155168,-83937.71599979888,-13845.763961387149,40660.76343006858,-74057.93867980869,-122854.47449424339,-18832.953303541755,-41969.23884658355
Pixels_Areas,-27426.476594526866,55765350.35740913,1211324.2379066565,62390.8909665393,50346.403025076186,124160994.86107922,-9334.2799375029,1374.9960204507854,-11922.538457373574,5400.4006272914285,-26.927612038813173,31.776789850795897,-79.99927352497564,21.38498113948919,-78.85437330066677,-40.215104505514915,32.97900584750088,418.03585579838483,193.87941960846496,252.43928345103095,66.2675648256578,-28.73098325302043,172.61312497602216
X_Perimeter,-229.48670002939318,5262775.070371116,62390.8909665393,4396.512646380893,2985.7137006327066,6545244.916939961,-389.12661076992066,137.24217239298915,-832.9383614621843,184.02841374936185,-0.6555499841436812,3.4971701448726087,-6.406777611264946,1.6809698234921018,-4.976085551026406,-5.814059920254321,-1.8944201228284578,26.31819741464659,15.7825290205436,13.766454989712727,-1.1418592836811414,-1.142272295917578,13.002111139257151
Y_Perimeter,-2357.857478768002,-2823396.89479139,50346.403025076186,2985.7137006327066,3325.9695481335966,5148406.033205452,-468.93438964775765,-98.12625110220752,-784.5660357656669,452.15010519313773,-1.7707440380242259,2.984791401234472,-6.726148764754109,0.581884538542456,-8.422307540259583,-0.8359107242856921,6.825986572405365,24.33244582050648,7.518977275575082,19.53359069891558,11.88385776108782,-1.8547744067416423,12.175986982735951
Sum_of_Luminosity,-2395001.3406594717,5565447162.75547,124160994.86107922,6545244.916939961,5148406.033205452,13024380894.884281,-766219.6813073342,323436.8611992017,-1449008.473953096,453767.01822703145,-2126.7257258028717,3483.1231028978377,-8367.347242766422,2305.231531711477,-7850.005017851123,-4523.694958158269,2716.1287745772934,42844.967104769275,20477.931500749113,25499.29708040661,5810.550904361647,-1579.8951814887146,17804.046165539192
Minimum_of_Luminosity,-1207.678774190555,-3149960.527187789,-9334.2799375029,-389.12661076992066,-468.93438964775765,-766219.6813073342,829.4384620144484,399.10232739817155,-873.1180792970622,-201.1349914143836,1.4608028916510682,0.6588523618179848,0.7242125883699705,-0.07725000541435269,0.6223658857107498,-0.9147855224076852,-2.7396179787447985,-5.316430885788101,-1.2129484878486458,-3.601237502127066,-3.0179691691289094,4.223341672725586,-2.2088687383011303
Maximum_of_Luminosity,-931.6795979456394,-509367.99171604036,1374.9960204507854,137.24217239298915,-98.12625110220752,323436.8611992017,399.10232739817155,502.1509212134342,-318.58493959129373,-215.417384712962,0.8029663285274506,-0.03328651207400643,-0.35146643990841986,0.15471914592453942,1.0961620778738612,-1.122895312717541,-2.362900855467722,-1.3297845377689772,1.0912244140896927,-2.4034035723125484,-3.5131708460312776,3.148478715406154,-0.9125605688164224
Length_of_Conveyer,12611.363929582478,2678978.7524790014,-11922.538457373574,-832.9383614621843,-784.5660357656669,-1449008.473953096,-873.1180792970622,-318.58493959129373,23019.415396872046,1519.0326446792383,-1.5081065308695458,-3.8802254188388563,2.2301757243630402,-0.45716590311402594,5.271178043639683,0.5189280513744723,-1.1145386971520503,-5.731279820320836,-0.8050660802407068,-8.01891933117275,-5.693437528812088,-4.140524934254289,-5.107679997447517
Steel_Plate_Thickness,-2436.9553973361385,-37764846.6377914,5400.4006272914285,184.02841374936185,452.15010519313773,453767.01822703145,-201.1349914143836,-215.417384712962,1519.0326446792383,5276.647154370931,-1.7683312547375591,1.0551495181226114,-1.1076328044026424,-0.1602971006141424,-2.6928180185789654,1.7270646705753137,5.5265496650836115,2.6878968198412827,-1.372804835790418,4.751396759123186,6.926703257506614,-1.7416779492752503,1.6803036515941399
Edges_Index,8.382258896554927,25560.439338164993,-26.927612038813173,-0.6555499841436812,-1.7707440380242259,-2126.7257258028717,1.4608028916510682,0.8029663285274506,-1.5081065308695458,-1.7683312547375591,0.08981083877937286,-0.0012803680162972032,0.01158584897784756,0.00018925365766594976,0.005792492089205328,-0.00428713139063781,-0.018252206348715258,-0.012893026346008078,0.0025802778165462635,-0.01576142955223303,-0.02418433594457248,0.007364276927238834,-0.003384177108387607
