,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
154,0.46686217008797654,0.478642480983031,0.17533386270238333,0.17533311914689007,0.00043235311458012616,0.002297310232602661,0.0005509338328466751,0.0004971890657400758,0.3891625615763547,0.2962962962962963,0.2930327868852459,1.0,0.0,0.15384615384615385,0.8038585209003216,0.36677614154041743,0.1468185943329636,0.020013723696248854,1.0,0.3312316099201345,0.0,0.313658426690151,0.40171649057012015,0.14138117265832295,0.07308216068996824,0.4202925045703839,0.10385925085130532,1
212,0.26803519061583575,0.26974839087185487,0.08709157692400052,0.08709136663440976,0.00037994667644920176,0.0006700488178424428,0.0004958404495620076,0.0005607719811401167,0.45320197044334976,0.44907407407407407,0.2807377049180328,1.0,0.0,0.11538461538461539,0.6733319935691319,0.2648585655260091,0.7983261066854896,0.0050320219579139975,0.8872767857142857,1.0,1.0,0.30251704999283185,0.21712163282968522,0.23481344072134688,0.6006960205779998,0.5349177330895796,0.07514188422247446,1
573,0.6674486803519062,0.6746635459332944,0.018836330360453908,0.018836480899009318,0.0009433158863566389,0.0022015889729108833,0.0009365875158393477,0.0014087454892364563,0.5172413793103449,0.4166666666666667,0.26434426229508196,0.0,1.0,0.0,0.29491559485530544,0.47791079563513084,0.7345971563981043,0.014295516925892038,0.7564935064935066,0.7664985287936108,0.0,0.3816331128269196,0.35256572067361436,0.26911968441073564,0.36707520048418824,0.5399146861669714,0.3642451759364359,1
986,0.02404692082111437,0.1240491515506144,0.12481194210161661,0.12481630369800388,0.04297327926735799,0.024217478702019717,0.0068315795272987714,0.058432785525250094,0.17733990147783252,0.4074074074074074,0.26844262295081966,0.0,1.0,0.0,0.06069131832797428,0.4664689056044073,0.3777352021780781,0.14569990850869163,0.6817167207792209,0.512400168137873,0.0,0.7200933909517274,0.7002993040279832,0.4287928241012516,0.18858122761890353,0.490920170627666,1.0,0
533,0.5343108504398827,0.5359859566998244,0.027245288419372456,0.02724511188743624,0.0003406418478510085,0.0009572125969177754,0.0005509338328466751,0.000389175754911241,0.3891625615763547,0.30092592592592593,0.26844262295081966,1.0,0.0,1.0,0.6482114147909968,0.42377370484161464,0.8991630533427448,0.005832570905763952,0.7463474025974026,0.9044766708701135,1.0,0.293157474348209,0.23554866395009197,0.23481344072134688,0.5502597468099057,0.4190737355271176,0.08671963677639044,1
1089,0.02404692082111437,0.1211234640140433,0.37844179194055766,0.37844584930766934,0.038178090178378414,0.027472001531540155,0.0086496611756928,0.0530150380065367,0.21674876847290642,0.4074074074074074,0.26434426229508196,0.0,1.0,0.0,0.06079180064308682,0.5004767454179468,0.3771301804981345,0.14169716376944191,0.5821834415584415,0.38146279949558637,0.0,0.7095869088823806,0.6957556525188417,0.42569328668372974,0.18832904625006303,0.5013406459475929,1.0,0
624,0.06334310850439882,0.06612053832650673,0.00594436209874468,0.00594500340014935,0.0006747328909356515,0.0014358188953766632,0.0011018676656933501,0.0014170276600348334,0.7438423645320197,0.625,0.2581967213114754,0.0,1.0,0.23076923076923078,0.16036977491961416,0.44146625701875203,0.4453967933850963,0.005832570905763952,0.5225243506493507,0.949978982765868,1.0,0.35230507710897657,0.23554866395009197,0.30549228637847226,0.7772229787663287,0.7553930530164534,0.21316685584563,1
526,0.918475073313783,0.9204212990052663,0.2100294268809134,0.21002955015447936,0.000681283695702017,0.0016272614147602182,0.0007713073659853452,0.0007205488594588085,0.3103448275862069,0.26851851851851855,0.875,1.0,0.0,0.23076923076923078,0.09354903536977492,0.3788536921284034,0.7310678632651003,0.005832570905763952,0.572747564935065,1.0,1.0,0.35314477645564957,0.26699361725145154,0.27616408763237604,0.6343370151813185,0.385679463741621,0.18955732122587973,1
274,0.14486803519061583,0.15681685196021064,0.012795108874946795,0.01279872783889505,0.004860697136643236,0.006700488178424428,0.0035259765302187206,0.006281077551831723,0.3793103448275862,0.3425925925925926,0.9528688524590164,0.0,1.0,1.0,0.2934083601286174,0.506303633859519,0.4339013814661692,0.015210430009149132,0.3376623376623376,0.8706389239176124,1.0,0.5264710098920679,0.3955501063791425,0.412308920562613,0.7829727139758915,0.4667885435709933,0.9993189557321225,1
670,0.9331378299120234,0.938560561732007,0.3496096050989618,0.3496089244029029,0.0004913103574774161,0.0015315401550684408,0.0005509338328466751,0.0007832690487340184,0.5517241379310345,0.44907407407407407,0.8668032786885246,1.0,0.0,0.11153846153846154,0.05114549839228296,0.25966733764169936,0.34748411818090147,0.010064043915827997,0.9435876623376623,0.5222782681799075,0.0,0.3247178814999898,0.33518445061483537,0.18273181956935214,0.17345034548847532,0.5761121267519805,0.10136208853575483,1
